Graph Ids,C2,C3,G\_N2V,G\_N2V*,G\_HOPE,G\_SDNE,G\_SDNE*,G\_SPEC,GUROBI OPTIMAL,GUROBI TIME
incgraph\_2\_0.30\_5\_30\_1.20\_5\_1,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210,217
incgraph\_2\_0.30\_5\_30\_1.20\_6\_1,8711.0,8711.0,8711.0,8711.0,8711.0,8711.0,8711.0,8711.0,8711,3297
incgraph\_2\_0.30\_5\_30\_1.20\_7\_1,9918.0,9926.67,9918.0,9918.0,9918.0,9918.0,9918.0,9918.0,9918,4413
incgraph\_2\_0.30\_5\_30\_1.20\_8\_1,1364.0,1364.0,1364.0,1364.0,1364.0,1364.0,1364.0,1364.0,1364,833
incgraph\_2\_0.30\_5\_30\_1.20\_9\_1,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340,763
incgraph\_2\_0.30\_5\_30\_1.20\_10\_1,1377.0,1377.0,1377.0,1377.0,1377.0,1377.0,1377.0,1377.0,1377,891
incgraph\_2\_0.30\_5\_30\_1.60\_1\_1,5396.0,5396.0,5396.13,5396.13,5396.0,5396.0,5396.13,5396.07,5396,3504
incgraph\_2\_0.30\_5\_30\_1.60\_2\_1,5468.17,5468.37,5468.13,5468.13,5468.2,5468.33,5468.3,5468.1,5468,4201
incgraph\_2\_0.30\_5\_30\_1.60\_3\_1,6134.7,6136.1,6143.6,6144.27,6136.97,6137.4,6135.97,6138.23,6128,4575
incgraph\_2\_0.30\_5\_30\_1.60\_4\_1,10621.03,10622.17,10621.13,10621.07,10621.5,10621.3,10621.17,10621.4,10621,21616
incgraph\_2\_0.30\_5\_30\_1.60\_5\_1,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285,626
incgraph\_2\_0.30\_5\_30\_1.60\_6\_1,12856.0,12856.0,12856.0,12856.0,12856.0,12856.0,12856.0,12856.0,12856,7536
incgraph\_2\_0.30\_5\_30\_1.60\_7\_1,16662.0,16662.0,16662.0,16662.0,16662.0,16662.0,16662.0,16662.0,16662,8502
incgraph\_2\_0.30\_5\_30\_1.60\_8\_1,1930.0,1930.03,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0,1930,1293
incgraph\_2\_0.30\_5\_30\_1.60\_9\_1,646.47,639.27,639.0,639.0,639.87,639.07,639.33,639.73,639,1473
incgraph\_2\_0.30\_5\_30\_1.60\_10\_1,2392.0,2392.0,2392.0,2392.0,2392.0,2392.0,2392.0,2392.0,2392,1495
,,,,,,,,,,
incgraph\_6\_0.06\_5\_30\_1.20\_1\_1,1071.53,1070.0,1071.93,1071.73,1071.13,1071.03,1071.27,1070.6,1070,1722
incgraph\_6\_0.06\_5\_30\_1.20\_2\_1,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310,2194
incgraph\_6\_0.06\_5\_30\_1.20\_3\_1,1934.2,1931.37,1934.7,1934.07,1933.3,1933.93,1933.8,1933.47,1931,3419
incgraph\_6\_0.06\_5\_30\_1.20\_4\_1,1157.53,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157,1909
incgraph\_6\_0.06\_5\_30\_1.20\_5\_1,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474,0.72
incgraph\_6\_0.06\_5\_30\_1.20\_6\_1,1268.0,1268.0,1268.0,1268.0,1268.0,1268.0,1268.0,1268.0,1268,1983
incgraph\_6\_0.06\_5\_30\_1.20\_7\_1,1515.0,1515.07,1515.0,1515.0,1515.23,1515.23,1515.23,1515.47,1515,2353
incgraph\_6\_0.06\_5\_30\_1.20\_8\_1,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555,719
incgraph\_6\_0.06\_5\_30\_1.20\_9\_1,836.0,836.33,836.0,836.0,836.0,836.0,836.0,836.0,836,1771
incgraph\_6\_0.06\_5\_30\_1.20\_10\_1,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0,1213,1899
incgraph\_6\_0.06\_5\_30\_1.60\_1\_1,1435.4,1434.63,1434.27,1433.7,1434.77,1433.13,1433.87,1434.67,1428,5272
incgraph\_6\_0.06\_5\_30\_1.60\_2\_1,1738.0,1740.97,1738.93,1738.7,1738.6,1738.97,1738.27,1738.57,1733,7221
incgraph\_6\_0.06\_5\_30\_1.60\_3\_1,2751.87,2752.4,2751.8,2752.1,2751.77,2751.07,2751.07,2751.53,2747,9115
incgraph\_6\_0.06\_5\_30\_1.60\_4\_1,1780.87,1780.67,1781.33,1781.63,1782.6,1781.37,1781.6,1782.43,1777,4841
incgraph\_6\_0.06\_5\_30\_1.60\_5\_1,650.07,648.5,649.9,649.3,648.23,652.07,652.37,648.43,646,2253
incgraph\_6\_0.06\_5\_30\_1.60\_6\_1,1708.3,1708.67,1709.77,1708.87,1708.17,1708.67,1708.67,1708.0,1706,6086
incgraph\_6\_0.06\_5\_30\_1.60\_7\_1,1996.7,1995.5,1996.77,1997.1,1997.1,1995.87,1996.6,1997.13,1988,8221
incgraph\_6\_0.06\_5\_30\_1.60\_8\_1,804.03,803.1,804.67,805.47,804.13,803.8,804.0,803.87,802,1951
incgraph\_6\_0.06\_5\_30\_1.60\_9\_1,1289.17,1288.53,1289.63,1289.6,1289.07,1289.1,1289.23,1288.67,1288,4662
incgraph\_6\_0.06\_5\_30\_1.60\_10\_1,2014.93,2014.8,2015.27,2015.17,2014.67,2015.9,2015.47,2015.0,2012,5166
incgraph\_6\_0.17\_5\_30\_1.20\_1\_1,4822.0,4822.0,4822.0,4822.0,4822.0,4822.0,4822.0,4822.0,4822,2755
incgraph\_6\_0.17\_5\_30\_1.20\_2\_1,5965.0,5960.13,5965.0,5965.0,5965.0,5965.0,5965.0,5965.0,5960,3417
incgraph\_6\_0.17\_5\_30\_1.20\_3\_1,12339.0,12339.0,12339.0,12339.0,12339.0,12339.0,12339.0,12339.0,12339,5465
incgraph\_6\_0.17\_5\_30\_1.20\_4\_1,6150.0,6150.0,6150.0,6150.0,6150.0,6150.0,6150.0,6150.0,6150,3331
incgraph\_6\_0.17\_5\_30\_1.20\_5\_1,1158.0,1158.0,1158.0,1158.0,1158.0,1158.0,1158.0,1158.0,1158,1077
incgraph\_6\_0.17\_5\_30\_1.20\_6\_1,5939.0,5943.5,5939.0,5939.0,5939.0,5939.0,5939.0,5939.0,5939,3159
incgraph\_6\_0.17\_5\_30\_1.20\_7\_1,6794.0,6795.1,6794.0,6794.0,6794.0,6794.0,6794.0,6794.0,6794,4334
incgraph\_6\_0.17\_5\_30\_1.20\_8\_1,1891.0,1891.0,1891.0,1891.0,1891.0,1891.03,1891.0,1891.0,1891,1228
incgraph\_6\_0.17\_5\_30\_1.20\_9\_1,1261.0,1261.0,1261.0,1261.0,1261.0,1261.0,1261.0,1261.0,1261,1183
incgraph\_6\_0.17\_5\_30\_1.20\_10\_1,5784.8,5784.73,5784.6,5784.53,5784.17,5784.13,5784.07,5784.17,5784,2032
incgraph\_6\_0.17\_5\_30\_1.60\_1\_1,7794.83,7797.27,7795.27,7795.37,7795.5,7795.23,7795.4,7795.2,7794,5186
incgraph\_6\_0.17\_5\_30\_1.60\_2\_1,9544.17,9535.7,9540.67,9540.7,9539.4,9538.97,9540.5,9540.7,9535,9917
incgraph\_6\_0.17\_5\_30\_1.60\_3\_1,20167.53,20167.83,20168.33,20168.17,20168.03,20168.03,20167.73,20167.2,20165,16841
